Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
2470,Dominik Szoboszlai,HUN,MF,Liverpool,eng Premier League,23-188,2000,23.0,76.5,1.52,10.2,37.1,30.1,2.87,76.5,2.39,1.04,43.6,1.17,49.1,44.4,231.8,121.1,3.17,2.83,0.91,1.17,1.09,52.6,6.65,https://fbref.com/en/players/934e1968/Dominik-Szoboszlai,934e1968,Big 5 combined
2471,Przemysław Szymiński,POL,MF,Frosinone,it Serie A,29-311,1994,0.1,30.0,10.0,30.0,0.00,0.00,0.00,30.0,0.00,0.00,,0.00,,10.0,60.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9b3099d6/Przemyslaw-Szyminski,9b3099d6,Big 5 combined
2472,Alexander Sørloth,NOR,FW,Villarreal,es La Liga,28-147,1995,23.5,28.6,1.36,2.47,11.6,14.8,5.11,28.6,2.77,1.11,40.0,1.57,56.9,16.9,115.7,38.9,1.70,1.19,1.02,3.62,2.38,22.9,5.32,https://fbref.com/en/players/e92cd3f7/Alexander-Sorloth,e92cd3f7,Big 5 combined
2473,Musa Al-Taamari,JOR,FW,Montpellier,fr Ligue 1,26-325,1997,20.2,39.1,0.40,4.50,15.1,20.6,4.36,39.1,5.20,1.98,38.1,2.77,53.3,29.9,236.6,107.8,3.96,2.92,2.18,3.51,1.53,27.9,7.52,https://fbref.com/en/players/f15f8b2b/Musa-Al-Taamari,f15f8b2b,Big 5 combined
2474,Nicolás Tagliafico,ARG,DF,Lyon,fr Ligue 1,31-243,1992,22.1,57.2,3.03,15.2,28.2,14.1,1.45,57.2,0.72,0.23,31.3,0.45,62.5,39.0,195.0,83.5,1.36,1.04,0.18,0.54,0.54,36.7,4.84,https://fbref.com/en/players/f0661424/Nicolas-Tagliafico,f0661424,Big 5 combined
2475,Jonathan Tah,GER,DF,Leverkusen,de Bundesliga,28-079,1996,27.0,83.2,6.81,26.7,52.3,4.59,1.22,83.2,0.30,0.15,50.0,0.15,50.0,53.4,271.4,154.3,0.52,0.78,0.04,0.37,0.11,62.0,0.15,https://fbref.com/en/players/bd142efb/Jonathan-Tah,bd142efb,Big 5 combined
2476,Montassar Talbi,TUN,DF,Lorient,fr Ligue 1,25-340,1998,21.5,60.7,8.74,32.1,27.0,1.95,0.51,60.7,0.65,0.42,64.3,0.23,35.7,43.1,281.0,159.0,0.51,0.37,0.00,0.93,0.14,39.5,0.28,https://fbref.com/en/players/a4a44eb0/Montassar-Talbi,a4a44eb0,Big 5 combined
2477,Yassin Tallal,ESP,MF,Getafe,es La Liga,18-363,2005,0.0,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/8388ba65/Yassin-Tallal,8388ba65,Big 5 combined
2478,Adrien Tameze,CMR,"DF,MF",Torino,it Serie A,30-086,1994,21.1,62.9,3.46,21.9,33.3,8.48,0.90,62.9,0.71,0.43,60.0,0.24,33.3,37.0,175.6,80.7,0.95,1.14,0.09,0.81,0.57,41.2,1.66,https://fbref.com/en/players/8da74c05/Adrien-Tameze,8da74c05,Big 5 combined
2479,Renato Tapia,PER,"MF,DF",Celta Vigo,es La Liga,28-277,1995,14.1,63.4,4.47,21.1,33.5,9.65,0.92,63.4,2.62,1.91,73.0,0.57,21.6,31.7,156.0,69.5,0.57,0.85,0.00,1.35,0.71,35.0,0.92,https://fbref.com/en/players/34269bdf/Renato-Tapia,34269bdf,Big 5 combined
2480,Edmond Tapsoba,BFA,DF,Leverkusen,de Bundesliga,25-088,1999,20.2,92.5,6.39,30.5,55.2,7.67,0.99,92.5,0.74,0.54,73.3,0.15,20.0,64.5,378.6,219.0,2.03,1.98,0.05,0.50,0.30,68.8,0.50,https://fbref.com/en/players/a73c8f95/Edmond-Tapsoba,a73c8f95,Big 5 combined
2481,Matt Targett,ENG,DF,Newcastle Utd,eng Premier League,28-225,1995,0.9,56.7,1.11,24.4,27.8,5.56,0.00,56.7,2.22,0.00,0.0,1.11,50.0,37.8,170.0,101.1,1.11,1.11,0.00,0.00,0.00,36.7,0.00,https://fbref.com/en/players/e514ab62/Matt-Targett,e514ab62,Big 5 combined
2482,Oussama Targhalline,MAR,MF,Le Havre,fr Ligue 1,21-346,2002,8.6,69.8,2.44,16.3,42.0,12.8,0.23,69.8,1.28,0.47,36.4,0.58,45.5,54.0,329.1,147.8,2.33,3.02,0.00,0.81,0.35,50.7,1.51,https://fbref.com/en/players/abd56820/Oussama-Targhalline,abd56820,Big 5 combined
2483,James Tarkowski,ENG,DF,Everton,eng Premier League,31-163,1992,35.0,53.3,9.31,26.3,22.7,4.63,2.20,53.3,0.54,0.43,78.9,0.11,21.1,24.3,132.3,81.0,0.43,0.29,0.00,0.40,0.40,28.3,0.57,https://fbref.com/en/players/15ea812b/James-Tarkowski,15ea812b,Big 5 combined
2484,César Tárrega,ESP,DF,Valencia,es La Liga,22-064,2002,0.1,70.0,20.0,60.0,10.0,0.00,0.00,70.0,0.00,0.00,,0.00,,30.0,50.0,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,https://fbref.com/en/players/59c29820/Cesar-Tarrega,59c29820,Big 5 combined
2485,Nuno Tavares,POR,DF,Nott'ham Forest,eng Premier League,24-095,2000,5.1,67.3,3.92,23.1,24.1,21.4,1.18,67.3,1.76,1.18,66.7,0.59,33.3,32.5,184.3,110.6,2.75,2.35,0.39,1.96,0.78,36.5,2.35,https://fbref.com/en/players/a65c844b/Nuno-Tavares,a65c844b,Big 5 combined
2486,Marcus Tavernier,ENG,FW,Bournemouth,eng Premier League,25-039,1999,22.6,52.8,1.50,7.92,17.1,28.8,3.94,52.8,4.60,1.90,41.3,2.43,52.9,29.4,210.7,102.7,3.36,3.41,1.06,2.30,1.68,32.5,7.43,https://fbref.com/en/players/5c0da4a4/Marcus-Tavernier,5c0da4a4,Big 5 combined
2487,Elayis Tavsan,NED,"MF,FW",Hellas Verona,it Serie A,23-000,2001,0.4,22.5,0.00,7.50,7.50,7.50,0.00,22.5,0.00,0.00,,0.00,,15.0,122.5,57.5,2.50,2.50,0.00,0.00,0.00,17.5,0.00,https://fbref.com/en/players/928143e7/Elayis-Tavsan,928143e7,Big 5 combined
2488,Charlie Taylor,ENG,DF,Burnley,eng Premier League,30-225,1993,24.1,60.6,4.69,19.9,26.6,14.6,0.75,60.6,0.71,0.37,52.9,0.25,35.3,28.5,129.0,58.9,1.45,0.75,0.21,0.71,0.41,33.5,3.20,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor,cc2d7ad5,Big 5 combined
2489,Loum Tchaouna,FRA,"FW,MF",Salernitana,it Serie A,20-235,2003,19.3,45.5,0.57,5.54,20.7,20.1,3.16,45.5,2.38,0.62,26.1,1.35,56.5,27.8,158.4,71.3,3.21,2.02,1.14,2.69,1.09,33.7,6.63,https://fbref.com/en/players/a3c8b4d3/Loum-Tchaouna,a3c8b4d3,Big 5 combined
2490,Jackson Tchatchoua,BEL,DF,Hellas Verona,it Serie A,22-229,2001,16.9,49.6,3.49,16.5,23.6,10.1,0.47,49.6,0.77,0.30,38.5,0.41,53.8,20.8,118.8,61.2,1.72,1.12,0.30,0.41,0.24,21.3,3.49,https://fbref.com/en/players/aeca7743/Jackson-Tchatchoua,aeca7743,Big 5 combined
2491,Enzo Tchato,CMR,DF,Montpellier,fr Ligue 1,21-159,2002,11.5,58.5,2.87,17.7,26.1,15.6,0.78,58.5,0.43,0.35,80.0,0.09,20.0,37.0,225.0,124.7,1.91,2.52,0.26,0.78,0.17,33.9,4.87,https://fbref.com/en/players/7f783431/Enzo-Tchato,7f783431,Big 5 combined
2492,Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,es La Liga,24-094,2000,22.1,77.9,5.97,24.4,44.6,9.55,0.90,77.9,0.59,0.27,46.2,0.14,23.1,52.1,288.0,161.5,1.27,1.86,0.05,0.59,0.54,58.6,0.68,https://fbref.com/en/players/4f255115/Aurelien-Tchouameni,4f255115,Big 5 combined
2493,Mathys Tel,FRA,"FW,MF",Bayern Munich,de Bundesliga,19-003,2005,9.0,56.3,0.78,5.11,19.3,33.2,8.33,56.3,6.67,3.78,56.7,2.78,41.7,39.9,333.4,141.9,4.67,2.11,3.33,3.22,3.00,42.2,12.0,https://fbref.com/en/players/829aa60c/Mathys-Tel,829aa60c,Big 5 combined
2494,Nathan Tella,NGA,"DF,MF",Leverkusen,de Bundesliga,24-300,1999,7.4,57.2,0.95,6.89,17.6,33.4,7.30,57.2,4.32,0.54,12.5,2.97,68.8,34.5,209.6,116.2,4.19,2.03,2.03,2.16,1.89,40.0,13.6,https://fbref.com/en/players/f1e94cd6/Nathan-Tella,f1e94cd6,Big 5 combined
2495,Nahuel Tenaglia,ARG,DF,Alavés,es La Liga,28-069,1996,9.3,46.9,7.42,23.4,19.0,4.84,1.08,46.9,0.97,0.43,44.4,0.22,22.2,18.7,127.3,78.8,1.18,0.65,0.00,0.32,0.32,20.9,1.08,https://fbref.com/en/players/66654daa/Nahuel-Tenaglia,66654daa,Big 5 combined
2496,Arnau Tenas,ESP,GK,Paris S-G,fr Ligue 1,22-336,2001,3.9,33.8,31.0,33.3,0.51,0.00,0.00,33.8,0.00,0.00,,0.00,,26.4,100.8,61.8,0.00,0.00,0.00,0.00,0.00,19.2,0.00,https://fbref.com/en/players/30670b0e/Arnau-Tenas,30670b0e,Big 5 combined
2497,Marc-André ter Stegen,GER,GK,Barcelona,es La Liga,32-000,1992,22.0,39.0,30.0,38.5,0.55,0.00,0.00,39.0,0.00,0.00,,0.00,,25.0,122.6,90.2,0.00,0.00,0.00,0.00,0.00,22.0,0.00,https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen,6f51e382,Big 5 combined
2498,Filippo Terracciano,ITA,DF,Hellas Verona,it Serie A,21-082,2003,14.4,59.7,2.50,18.8,29.6,11.9,0.56,59.7,2.15,0.90,41.9,0.69,32.3,32.2,189.4,93.9,1.81,1.46,0.07,1.25,1.32,31.9,1.94,https://fbref.com/en/players/5cbb5ad6/Filippo-Terracciano,5cbb5ad6,Big 5 combined
2499,Filippo Terracciano,ITA,"DF,FW",Milan,it Serie A,21-082,2003,0.1,160.0,0.00,60.0,90.0,10.0,0.00,160.0,0.00,0.00,,0.00,,100.0,870.0,290.0,0.00,0.00,0.00,10.0,10.0,120.0,10.0,https://fbref.com/en/players/5cbb5ad6/Filippo-Terracciano,5cbb5ad6,Big 5 combined
2500,Pietro Terracciano,ITA,GK,Fiorentina,it Serie A,34-053,1990,30.0,39.7,32.7,39.6,0.10,0.00,0.00,39.7,0.00,0.00,,0.00,,22.2,105.3,69.0,0.00,0.00,0.00,0.03,0.03,22.7,0.00,https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano,e1b0a70d,Big 5 combined
2501,Ramón Terrats,ESP,MF,Villarreal,es La Liga,23-195,2000,6.9,56.8,1.30,7.97,31.2,18.0,1.45,56.8,2.90,1.30,45.0,1.01,35.0,30.9,175.4,79.9,1.74,1.45,0.14,1.45,1.59,40.7,6.67,https://fbref.com/en/players/f36016a5/Ramon-Terrats,f36016a5,Big 5 combined
2502,Martin Terrier,FRA,"FW,MF",Rennes,fr Ligue 1,27-057,1997,15.3,40.4,1.18,4.71,17.0,19.2,5.29,40.4,2.29,0.98,42.9,0.98,42.9,29.9,168.6,71.8,1.83,1.63,0.59,2.09,1.05,30.3,6.47,https://fbref.com/en/players/5148dcc5/Martin-Terrier,5148dcc5,Big 5 combined
2503,Kenny Tete,NED,DF,Fulham,eng Premier League,28-204,1995,8.6,67.1,4.53,21.7,28.6,17.4,1.05,67.1,2.21,1.05,47.4,1.05,47.4,31.0,149.8,68.4,2.21,1.51,0.12,0.93,0.35,37.0,4.19,https://fbref.com/en/players/77d7c96f/Kenny-Tete,77d7c96f,Big 5 combined
2504,Benjamin Tetteh,GHA,"FW,MF",Metz,fr Ligue 1,26-295,1997,3.1,36.1,0.32,3.55,21.9,11.0,2.26,36.1,2.90,1.29,44.4,1.61,55.6,24.2,150.3,38.1,0.97,1.29,0.32,4.84,0.65,25.5,4.19,https://fbref.com/en/players/91f04b44/Benjamin-Tetteh,91f04b44,Big 5 combined
2505,Teddy Teuma,MLT,MF,Reims,fr Ligue 1,30-213,1993,21.0,77.0,0.67,10.9,42.7,24.6,1.48,77.0,2.05,1.14,55.8,0.71,34.9,54.7,289.4,122.2,1.33,1.57,0.19,1.90,0.71,53.0,5.00,https://fbref.com/en/players/5c26ca51/Teddy-Teuma,5c26ca51,Big 5 combined
2506,Florian Thauvin,FRA,FW,Udinese,it Serie A,31-095,1993,19.0,40.7,0.21,3.68,18.1,20.3,4.32,40.7,4.74,1.84,38.9,2.42,51.1,25.7,196.7,101.5,3.74,2.79,1.58,3.00,1.89,28.5,5.11,https://fbref.com/en/players/2b9fdeea/Florian-Thauvin,2b9fdeea,Big 5 combined
2507,Arthur Theate,BEL,DF,Rennes,fr Ligue 1,23-341,2000,23.9,73.9,8.16,32.5,36.4,5.36,1.09,73.9,0.50,0.25,50.0,0.21,41.7,55.0,351.4,201.4,1.38,1.38,0.13,0.67,0.13,51.0,0.96,https://fbref.com/en/players/df8d6029/Arthur-Theate,df8d6029,Big 5 combined
2508,Norman Theuerkauf,GER,"MF,DF",Heidenheim,de Bundesliga,37-097,1987,12.9,50.3,3.41,17.8,24.8,8.14,1.24,50.3,0.47,0.23,50.0,0.23,50.0,23.6,153.3,69.8,1.09,0.78,0.16,0.70,0.31,27.3,1.32,https://fbref.com/en/players/0cbf4c54/Norman-Theuerkauf,0cbf4c54,Big 5 combined
2509,Malick Thiaw,GER,DF,Milan,it Serie A,22-266,2001,15.9,75.7,6.04,34.0,39.4,2.45,0.50,75.7,0.69,0.50,72.7,0.13,18.2,50.2,265.7,139.7,0.94,0.38,0.00,0.38,0.31,55.2,0.00,https://fbref.com/en/players/ff5ea0bf/Malick-Thiaw,ff5ea0bf,Big 5 combined
2510,Jan Thielmann,GER,"FW,DF",Köln,de Bundesliga,21-340,2002,16.3,42.8,2.02,10.2,18.5,14.9,1.96,42.8,1.53,0.98,64.0,0.37,24.0,22.8,162.0,78.5,2.70,2.02,0.61,2.15,1.35,24.5,3.87,https://fbref.com/en/players/fd53759d/Jan-Thielmann,fd53759d,Big 5 combined
2511,Denis Thomalla,GER,"MF,FW",Heidenheim,de Bundesliga,31-258,1992,4.6,48.3,2.83,11.1,27.6,10.0,1.96,48.3,0.43,0.43,100.0,0.00,0.0,26.3,93.0,38.3,0.65,0.43,0.00,0.22,0.65,30.4,3.70,https://fbref.com/en/players/b9ac6e0e/Denis-Thomalla,b9ac6e0e,Big 5 combined
2512,Luke Thomas,ENG,DF,Sheffield Utd,eng Premier League,22-325,2001,10.2,42.2,3.33,15.7,18.4,8.63,1.08,42.2,0.98,0.49,50.0,0.39,40.0,18.7,78.7,38.3,0.78,0.69,0.10,1.08,0.49,22.5,2.16,https://fbref.com/en/players/fc027d02/Luke-Thomas,fc027d02,Big 5 combined
2513,Adrien Thomasson,FRA,MF,Lens,fr Ligue 1,30-142,1993,12.7,61.4,1.26,7.95,25.2,28.9,5.59,61.4,1.10,0.71,64.3,0.39,35.7,45.6,227.7,83.8,1.57,1.73,0.55,2.13,1.50,42.8,8.66,https://fbref.com/en/players/c76b7567/Adrien-Thomasson,c76b7567,Big 5 combined
2514,Morten Thorsby,NOR,MF,Genoa,it Serie A,27-361,1996,8.6,38.0,2.09,6.74,19.4,12.2,0.93,38.0,1.05,0.47,44.4,0.47,44.4,16.4,67.9,21.5,0.35,0.47,0.00,2.09,1.40,23.1,3.02,https://fbref.com/en/players/d1b49282/Morten-Thorsby,d1b49282,Big 5 combined
2515,Kristian Thorstvedt,NOR,MF,Sassuolo,it Serie A,25-048,1999,23.6,47.6,2.33,8.56,26.1,13.5,2.84,47.6,1.36,0.55,40.6,0.64,46.9,25.2,132.5,64.9,1.10,1.31,0.21,1.95,1.40,32.2,3.35,https://fbref.com/en/players/76ff8d0d/Kristian-Thorstvedt,76ff8d0d,Big 5 combined
2516,Khéphren Thuram,FRA,MF,Nice,fr Ligue 1,23-035,2001,20.5,60.6,3.27,12.6,36.6,12.5,1.76,60.6,2.78,1.61,57.9,1.07,38.6,48.0,303.4,143.6,3.07,3.07,0.49,1.66,1.07,45.0,2.59,https://fbref.com/en/players/7d9397f8/Khephren-Thuram,7d9397f8,Big 5 combined
2517,Marcus Thuram,FRA,FW,Inter,it Serie A,26-268,1997,26.9,32.2,0.93,2.86,13.7,15.9,5.95,32.2,1.86,1.19,64.0,0.41,22.0,18.1,116.8,55.3,2.23,0.89,1.41,2.68,1.23,25.1,6.43,https://fbref.com/en/players/6f8cd6d0/Marcus-Thuram,6f8cd6d0,Big 5 combined
2518,Cheikh Tidiane Sabaly,SEN,"FW,MF",Metz,fr Ligue 1,25-057,1999,15.1,37.1,1.46,7.68,16.8,13.8,2.98,37.1,4.37,1.99,45.5,2.25,51.5,26.7,201.3,84.5,2.38,1.99,0.93,2.19,1.26,23.2,4.90,https://fbref.com/en/players/9ddf7fae/Cheikh-Tidiane-Sabaly,9ddf7fae,Big 5 combined
2519,Youri Tielemans,BEL,"MF,FW",Aston Villa,eng Premier League,26-359,1997,17.3,61.3,2.25,11.7,33.0,17.0,1.50,61.3,1.62,0.81,50.0,0.58,35.7,35.5,161.1,77.1,1.33,1.56,0.40,0.92,1.21,42.8,2.66,https://fbref.com/en/players/56f7a928/Youri-Tielemans,56f7a928,Big 5 combined
2520,Kieran Tierney,SCO,DF,Real Sociedad,es La Liga,26-330,1997,11.0,76.8,3.18,21.5,39.7,16.1,0.64,76.8,1.18,0.45,38.5,0.64,53.8,37.9,164.5,87.8,1.82,1.64,0.18,0.91,0.27,42.7,3.09,https://fbref.com/en/players/fce2302c/Kieran-Tierney,fce2302c,Big 5 combined
2521,Phillip Tietz,GER,FW,Augsburg,de Bundesliga,26-296,1997,24.0,31.0,1.46,3.42,12.9,14.9,4.88,31.0,1.42,0.50,35.3,0.79,55.9,16.0,64.8,23.6,0.75,0.54,0.29,2.71,0.75,21.2,4.42,https://fbref.com/en/players/3397e7b5/Phillip-Tietz,3397e7b5,Big 5 combined
2522,Steffen Tigges,GER,FW,Köln,de Bundesliga,25-274,1998,6.2,36.9,1.77,4.19,21.9,11.3,4.19,36.9,1.29,0.65,50.0,0.65,50.0,19.2,88.9,31.6,1.13,0.48,0.32,2.74,1.29,26.0,5.97,https://fbref.com/en/players/6b8887c2/Steffen-Tigges,6b8887c2,Big 5 combined
2523,Antonio Tikvić,CRO,DF,Udinese,it Serie A,20-009,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d1ac669b/Antonio-Tikvic,d1ac669b,Big 5 combined
2524,Jurriën Timber,NED,DF,Arsenal,eng Premier League,22-318,2001,0.5,102.0,0.00,16.0,76.0,10.0,0.00,102.0,0.00,0.00,,0.00,,78.0,254.0,172.0,0.00,4.00,0.00,0.00,0.00,78.0,6.00,https://fbref.com/en/players/41034650/Jurrien-Timber,41034650,Big 5 combined
2525,Jean-Clair Todibo,FRA,DF,Nice,fr Ligue 1,24-122,1999,26.6,96.2,9.70,43.3,50.2,3.38,0.49,96.2,0.90,0.56,62.5,0.30,33.3,76.5,411.0,219.2,1.09,0.68,0.04,0.64,0.30,70.8,0.30,https://fbref.com/en/players/88f130ed/Jean-Clair-Todibo,88f130ed,Big 5 combined
2526,Harry Toffolo,ENG,DF,Nott'ham Forest,eng Premier League,28-255,1995,14.9,46.4,4.09,17.4,18.5,10.8,0.81,46.4,0.20,0.07,33.3,0.13,66.7,17.2,58.1,27.4,0.60,0.40,0.07,0.47,0.34,21.7,2.28,https://fbref.com/en/players/a105d46a/Harry-Toffolo,a105d46a,Big 5 combined
2527,Umut Tohumcu,GER,MF,Hoffenheim,de Bundesliga,19-263,2004,10.4,44.6,1.92,9.04,26.0,10.2,0.77,44.6,1.63,0.19,11.8,1.15,70.6,27.5,132.3,68.3,1.63,1.15,0.19,0.67,0.96,31.4,2.40,https://fbref.com/en/players/e547d3cf/Umut-Tohumcu,e547d3cf,Big 5 combined
2528,Corentin Tolisso,FRA,MF,Lyon,fr Ligue 1,29-271,1994,17.9,75.8,3.13,16.4,41.2,18.5,2.01,75.7,0.50,0.28,55.6,0.22,44.4,58.2,305.8,130.2,1.51,2.29,0.11,1.40,1.06,56.5,3.58,https://fbref.com/en/players/652d4c37/Corentin-Tolisso,652d4c37,Big 5 combined
2529,Jeremy Toljan,GER,DF,Sassuolo,it Serie A,29-266,1994,21.0,52.0,2.95,16.3,23.2,12.9,1.10,52.0,0.62,0.29,46.2,0.29,46.2,24.5,127.1,57.8,1.67,1.10,0.29,0.95,0.43,29.6,3.71,https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan,a96e5dc0,Big 5 combined
2530,Rafael Tolói,ITA,DF,Atalanta,it Serie A,33-203,1990,7.9,61.4,4.56,24.1,29.1,8.35,0.51,61.4,0.38,0.25,66.7,0.13,33.3,34.3,129.5,69.7,0.63,0.89,0.00,0.63,0.13,37.6,1.01,https://fbref.com/en/players/c56dc39e/Rafael-Toloi,c56dc39e,Big 5 combined
2531,Raúl de Tomás,ESP,FW,Rayo Vallecano,es La Liga,29-196,1994,13.6,30.7,0.88,2.43,15.7,12.8,3.97,30.6,3.24,1.47,45.5,1.40,43.2,18.3,82.9,25.4,0.74,0.37,0.29,3.16,1.91,24.2,4.93,https://fbref.com/en/players/02ef8778/Raul-de-Tomas,02ef8778,Big 5 combined
2532,Tiago Tomás,POR,"FW,MF",Wolfsburg,de Bundesliga,21-319,2002,11.3,38.7,0.80,5.40,15.9,17.7,4.60,38.7,4.78,1.86,38.9,2.39,50.0,24.4,135.9,48.3,1.86,1.15,1.68,4.34,2.04,29.4,9.73,https://fbref.com/en/players/b492126a/Tiago-Tomas,b492126a,Big 5 combined
2533,Takehiro Tomiyasu,JPN,DF,Arsenal,eng Premier League,25-177,1998,9.8,67.7,2.65,15.0,31.9,21.1,2.14,67.7,1.12,0.41,36.4,0.61,54.5,40.8,187.0,95.7,1.63,1.22,0.20,1.02,0.31,44.7,3.06,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,b3af9be1,Big 5 combined
2534,James Tomkins,ENG,DF,Crystal Palace,eng Premier League,35-032,1989,0.1,140.0,20.0,80.0,50.0,10.0,0.00,140.0,0.00,0.00,,0.00,,30.0,110.0,50.0,0.00,0.00,0.00,0.00,0.00,40.0,0.00,https://fbref.com/en/players/e7ca0439/James-Tomkins,e7ca0439,Big 5 combined
2535,Fikayo Tomori,ENG,DF,Milan,it Serie A,26-133,1997,20.1,82.0,9.60,44.4,35.7,2.09,0.75,82.0,0.20,0.10,50.0,0.10,50.0,51.5,238.1,130.7,0.70,0.60,0.05,0.25,0.00,59.4,0.10,https://fbref.com/en/players/7edfbb8a/Fikayo-Tomori,7edfbb8a,Big 5 combined
2536,Sandro Tonali,ITA,MF,Newcastle Utd,eng Premier League,23-358,2000,4.9,62.7,1.02,12.2,36.5,14.3,1.63,62.7,1.22,0.61,50.0,0.41,33.3,39.0,196.9,83.5,2.24,0.82,0.20,0.82,0.41,52.4,4.29,https://fbref.com/en/players/0db169ae/Sandro-Tonali,0db169ae,Big 5 combined
2537,Ivan Toney,ENG,FW,Brentford,eng Premier League,28-045,1996,13.1,40.0,1.15,4.89,17.2,18.4,4.43,40.0,1.53,0.61,40.0,0.69,45.0,22.4,107.8,51.4,1.45,1.07,0.99,3.36,1.30,29.8,6.64,https://fbref.com/en/players/e09f279b/Ivan-Toney,e09f279b,Big 5 combined
2538,Pablo Torre,ESP,"MF,FW",Girona,es La Liga,21-027,2003,7.1,67.6,1.41,8.87,34.2,25.1,2.96,67.6,2.39,0.70,29.4,1.27,52.9,46.8,217.9,113.4,3.10,2.11,0.42,2.25,1.69,55.8,5.21,https://fbref.com/en/players/04e531b6/Pablo-Torre,04e531b6,Big 5 combined
2539,Raúl Torrente,ESP,DF,Granada,es La Liga,22-232,2001,11.5,66.5,9.04,43.6,21.9,1.13,0.70,66.5,0.09,0.00,0.0,0.09,100.0,39.2,206.1,103.7,0.17,0.09,0.09,0.00,0.09,43.5,0.17,https://fbref.com/en/players/4d753a3f/Raul-Torrente,4d753a3f,Big 5 combined
2540,Ferrán Torres,ESP,FW,Barcelona,es La Liga,24-061,2000,11.9,44.0,0.42,3.19,18.0,23.3,4.29,44.0,1.85,0.76,40.9,0.92,50.0,24.8,130.3,57.0,2.10,1.51,1.09,2.44,1.01,34.6,8.57,https://fbref.com/en/players/9e1035f8/Ferran-Torres,9e1035f8,Big 5 combined
2541,Óliver Torres,ESP,MF,Sevilla,es La Liga,29-172,1994,18.0,57.8,0.67,9.39,30.8,18.1,1.44,57.8,1.33,0.61,45.8,0.67,50.0,32.6,147.6,72.0,2.22,0.83,0.28,1.50,1.33,39.4,6.11,https://fbref.com/en/players/58a9a4d9/Oliver-Torres,58a9a4d9,Big 5 combined
2542,Pau Torres,ESP,DF,Aston Villa,eng Premier League,27-105,1997,25.4,72.7,10.1,35.9,32.1,5.35,0.79,72.7,1.06,0.67,63.0,0.31,29.6,51.2,330.9,216.6,1.54,1.57,0.00,0.31,0.47,53.4,0.63,https://fbref.com/en/players/532e1e4f/Pau-Torres,532e1e4f,Big 5 combined
2543,Lucas Torró,ESP,MF,Osasuna,es La Liga,29-286,1994,16.7,49.0,2.75,12.2,27.2,9.76,1.44,49.0,0.30,0.24,80.0,0.00,0.0,20.7,91.2,28.6,0.12,0.36,0.06,0.66,0.54,26.6,0.42,https://fbref.com/en/players/0e4fef6e/Lucas-Torro,0e4fef6e,Big 5 combined
2544,Fabio Torsiello,ITA,"FW,DF",Darmstadt 98,de Bundesliga,19-088,2005,1.6,29.4,0.63,3.13,14.4,11.9,1.25,29.4,1.88,0.63,33.3,1.25,66.7,16.9,94.4,42.5,1.25,0.00,0.00,5.00,1.88,19.4,4.38,https://fbref.com/en/players/9b5d89b3/Fabio-Torsiello,9b5d89b3,Big 5 combined
2545,Ahmed Touba,ALG,DF,Lecce,it Serie A,26-049,1998,3.1,56.8,11.3,34.2,21.6,1.61,0.32,56.8,0.00,0.00,,0.00,,26.1,131.9,70.0,0.00,0.65,0.00,0.32,0.00,27.1,0.32,https://fbref.com/en/players/f25de136/Ahmed-Touba,f25de136,Big 5 combined
2546,Abdoulaye Touré,GUI,MF,Le Havre,fr Ligue 1,30-058,1994,22.6,59.3,2.70,15.3,37.2,7.57,0.66,59.2,1.73,1.19,69.2,0.49,28.2,43.8,225.9,97.5,0.88,1.50,0.09,1.42,1.24,39.8,1.02,https://fbref.com/en/players/ef7cd87a/Abdoulaye-Toure,ef7cd87a,Big 5 combined
2547,Souleymane Touré,FRA,DF,Lorient,fr Ligue 1,21-033,2003,22.8,67.4,9.65,29.7,31.8,6.14,1.75,67.4,0.61,0.48,78.6,0.13,21.4,47.3,259.1,139.4,1.05,0.92,0.18,0.75,0.53,45.0,1.10,https://fbref.com/en/players/01fd01e8/Souleymane-Toure,01fd01e8,Big 5 combined
