Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
2993,Ellyes Skhiri,TUN,MF,Eint Frankfurt,de Bundesliga,28-356,1995,24,1947,81,69.8,21.6,0.97,90,0.83,0.14,22,0.00,1.50,1.48,1.20,0.28,+0.28,+0.38,1.40,1.46,-0.06,-0.06,+0.51,https://fbref.com/en/players/c2211709/Ellyes-Skhiri,c2211709,Big 5 combined
2994,Oliver Skipp,ENG,"MF,FW",Tottenham,eng Premier League,23-227,2000,17,582,34,19.6,6.5,0.62,73,0.15,2.00,22,1.38,2.00,1.85,2.31,-0.46,-0.46,-1.18,1.65,2.25,-0.62,-0.61,-0.91,https://fbref.com/en/players/6250083a/Oliver-Skipp,6250083a,Big 5 combined
2995,Leo Skiri Østigård,NOR,DF,Napoli,it Serie A,24-154,1999,22,1355,62,44.3,15.1,0.99,84,0.86,0.46,14,0.66,1.43,1.72,1.32,0.40,+0.40,+0.24,1.64,1.02,0.62,+0.62,-0.04,https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard,b35a7399,Big 5 combined
2996,Łukasz Skorupski,POL,GK,Bologna,it Serie A,32-361,1991,30,2700,90,88.2,30.0,1.00,90,1.00,0.00,,0.13,1.77,1.37,0.87,0.50,+0.50,-1.25,1.28,1.02,0.27,+0.27,-0.57,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,ab4449d6,Big 5 combined
2997,Robert Skov,DEN,"DF,FW",Hoffenheim,de Bundesliga,27-346,1996,25,1260,50,45.2,14.0,1.00,70,0.14,0.79,26,0.21,1.28,2.07,2.29,-0.21,-0.21,+0.08,1.61,1.73,-0.11,-0.11,+0.44,https://fbref.com/en/players/ff98492b/Robert-Skov,ff98492b,Big 5 combined
2998,Milan Škriniar,SVK,DF,Paris S-G,fr Ligue 1,29-079,1995,21,1429,68,51.2,15.9,0.94,87,0.82,0.38,22,0.06,2.29,2.64,0.88,1.76,+1.76,+0.51,2.14,1.10,1.04,+1.04,+0.32,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar,30f5ffa9,Big 5 combined
2999,Naatan Skyttä,FIN,"MF,FW",Toulouse,fr Ligue 1,21-359,2002,7,96,14,3.4,1.1,0.00,,0.00,6.36,14,3.64,1.00,0.91,0.91,0.00,0.00,+0.07,2.27,2.36,0.00,-0.01,+0.23,https://fbref.com/en/players/d7547531/Naatan-Skytta,d7547531,Big 5 combined
3000,Zinedin Smajlovic,SWE,DF,Lecce,it Serie A,20-132,2003,0,,,,,0,,0,0,,14,,,,,,,,,,,,https://fbref.com/en/players/2ae9ca08/Zinedin-Smajlovic,2ae9ca08,Big 5 combined
3001,Chris Smalling,ENG,DF,Roma,it Serie A,34-160,1989,8,390,49,12.7,4.3,0.93,80,0.47,0.93,17,0.70,2.00,1.86,1.86,0.00,0.00,-0.67,1.42,0.91,0.49,+0.50,+0.20,https://fbref.com/en/players/b6964eb6/Chris-Smalling,b6964eb6,Big 5 combined
3002,Adam Smith,ENG,DF,Bournemouth,eng Premier League,33-001,1991,26,1983,76,63.0,22.0,1.05,85,0.68,0.14,12,0.23,1.73,1.77,1.41,0.36,+0.36,+1.83,1.67,1.26,0.40,+0.40,+1.08,https://fbref.com/en/players/20b104bc/Adam-Smith,20b104bc,Big 5 combined
3003,Emile Smith Rowe,ENG,MF,Arsenal,eng Premier League,23-277,2000,12,331,28,10.5,3.7,0.81,76,0.00,2.43,12,4.32,2.17,2.97,0.81,2.16,+2.18,+0.64,1.68,0.54,1.14,+1.15,-0.06,https://fbref.com/en/players/17695062/Emile-Smith-Rowe,17695062,Big 5 combined
3004,Hrvoje Smolčić,CRO,DF,Eint Frankfurt,de Bundesliga,23-257,2000,11,347,32,12.4,3.9,0.77,87,0.51,2.05,11,4.36,1.73,1.03,1.54,-0.51,-0.52,-0.78,1.31,1.59,-0.28,-0.28,-0.07,https://fbref.com/en/players/c967f6b8/Hrvoje-Smolcic,c967f6b8,Big 5 combined
3005,Cédric Soares,POR,DF,Arsenal,eng Premier League,32-243,1991,3,62,21,2.0,0.7,0.00,,0.00,4.29,21,21.4,3.00,1.43,0.00,1.43,+1.45,-0.15,1.29,0.71,0.57,+0.62,-0.59,https://fbref.com/en/players/839c14e1/Cedric-Soares,839c14e1,Big 5 combined
3006,Danilo Soares,BRA,DF,Bochum,de Bundesliga,32-184,1991,5,351,70,12.6,3.9,0.77,88,0.51,0.51,44,2.82,0.60,0.77,1.54,-0.77,-0.77,+0.04,0.95,1.77,-0.85,-0.84,-0.41,https://fbref.com/en/players/c05f2f8c/Danilo-Soares,c05f2f8c,Big 5 combined
3007,Eduard Sobol,UKR,DF,Strasbourg,fr Ligue 1,29-010,1995,3,25,8,0.9,0.3,0.00,,0.00,10.0,8,36.7,1.00,0.00,0.00,0.00,0.00,+0.33,1.33,1.67,-0.33,-0.28,-0.24,https://fbref.com/en/players/2ccd89a3/Eduard-Sobol,2ccd89a3,Big 5 combined
3008,Rubén Sobrino,ESP,"MF,FW",Cádiz,es La Liga,31-334,1992,27,1374,51,46.3,15.3,0.92,74,0.13,0.85,26,0.20,0.93,0.46,1.31,-0.85,-0.85,-0.29,0.81,1.42,-0.61,-0.61,-0.30,https://fbref.com/en/players/19b776e9/Ruben-Sobrino,19b776e9,Big 5 combined
3009,Andrea Sodero,ITA,MF,Empoli,it Serie A,19-267,2004,1,5,5,0.2,0.1,0.00,,0.00,10.0,5,0.00,0.00,0.00,0.00,0.00,0.00,+0.65,1.00,0.00,1.00,+1.79,+2.27,https://fbref.com/en/players/364e2d13/Andrea-Sodero,364e2d13,Big 5 combined
3010,Emran Soglo,ENG,"MF,DF",Marseille,fr Ligue 1,18-294,2005,3,109,36,3.9,1.2,0.83,66,0.00,1.67,22,15.0,1.67,2.50,1.67,0.83,+0.83,+0.56,2.17,0.50,1.67,+1.63,+1.09,https://fbref.com/en/players/47f82561/Emran-Soglo,47f82561,Big 5 combined
3011,Alex Sola,ESP,"FW,MF",Alavés,es La Liga,24-326,1999,25,1105,44,37.2,12.3,0.98,71,0.24,1.06,19,0.41,1.24,0.57,1.30,-0.73,-0.73,-0.83,1.16,1.36,-0.20,-0.20,-0.34,https://fbref.com/en/players/5fa714d5/Alex-Sola,5fa714d5,Big 5 combined
3012,Alex Sola,ESP,"DF,MF",Real Sociedad,es La Liga,24-326,1999,2,30,15,1.0,0.3,0.00,,0.00,6.67,15,3.33,1.00,0.00,3.33,-3.33,-3.00,-3.37,2.33,2.00,0.33,+0.20,-0.02,https://fbref.com/en/players/5fa714d5/Alex-Sola,5fa714d5,Big 5 combined
3013,Dominic Solanke,ENG,FW,Bournemouth,eng Premier League,26-229,1997,35,3113,89,98.8,34.6,1.01,89,0.75,0.00,,0.00,1.37,1.45,1.62,-0.17,-0.17,+11.99,1.47,1.45,0.01,+0.01,+0.85,https://fbref.com/en/players/e77dc3b2/Dominic-Solanke,e77dc3b2,Big 5 combined
3014,Ola Solbakken,NOR,FW,Roma,it Serie A,25-236,1998,1,23,23,0.8,0.3,0.00,,0.00,3.33,23,3.33,0.00,0.00,0.00,0.00,0.00,-0.59,0.67,0.00,0.67,+0.78,+0.46,https://fbref.com/en/players/78f13530/Ola-Solbakken,78f13530,Big 5 combined
3015,Carlos Soler,ESP,"MF,DF",Paris S-G,fr Ligue 1,27-119,1997,21,903,43,32.4,10.0,1.00,77,0.10,1.10,12,0.90,2.29,1.80,1.10,0.70,+0.70,-1.21,1.72,1.25,0.48,+0.48,-0.61,https://fbref.com/en/players/fed17f5a/Carlos-Soler,fed17f5a,Big 5 combined
3016,Jhon Solis,COL,MF,Girona,es La Liga,19-210,2004,18,384,21,12.9,4.3,0.47,67,0.00,3.72,16,2.56,1.67,2.09,1.63,0.47,+0.47,-0.47,2.21,2.19,0.02,+0.03,-0.43,https://fbref.com/en/players/1282939a/Jhon-Solis,1282939a,Big 5 combined
3017,Manor Solomon,ISR,FW,Tottenham,eng Premier League,24-281,1999,5,199,40,6.7,2.2,0.91,73,0.00,1.36,18,0.91,2.60,2.73,0.91,1.82,+1.81,+1.42,2.14,0.82,1.32,+1.31,+1.28,https://fbref.com/en/players/886f9aac/Manor-Solomon,886f9aac,Big 5 combined
3018,Daniele Sommariva,ITA,GK,Genoa,it Serie A,26-287,1997,0,,,,,0,,0,0,,32,,,,,,,,,,,,https://fbref.com/en/players/a8e7f7e9/Daniele-Sommariva,a8e7f7e9,Big 5 combined
3019,Yann Sommer,SUI,GK,Inter,it Serie A,35-135,1988,32,2880,90,94.1,32.0,1.00,90,1.00,0.00,,0.03,2.59,2.34,0.56,1.78,+1.78,-1.22,2.08,0.80,1.28,+1.28,-0.49,https://fbref.com/en/players/420c18a1/Yann-Sommer,420c18a1,Big 5 combined
3020,Brandon Soppy,FRA,DF,Torino,it Serie A,22-069,2002,5,178,36,5.8,2.0,1.00,69,0.00,1.50,13,3.00,1.60,0.00,0.00,0.00,0.00,0.00,1.15,0.55,0.60,+0.60,+0.54,https://fbref.com/en/players/28f66c2e/Brandon-Soppy,28f66c2e,Big 5 combined
3021,David Soria,ESP,GK,Getafe,es La Liga,31-026,1993,33,2970,90,100.0,33.0,1.00,90,1.00,0.00,,0.00,1.30,1.24,1.36,-0.12,-0.12,,1.18,1.45,-0.27,-0.27,,https://fbref.com/en/players/8f8c6934/David-Soria,8f8c6934,Big 5 combined
3022,Alberto Soro,ESP,MF,Granada,es La Liga,25-052,1999,1,8,8,0.3,0.1,0.00,,0.00,10.0,8,10.0,3.00,0.00,10.0,-10.00,-11.25,-10.52,1.00,6.00,-5.00,-5.81,-5.35,https://fbref.com/en/players/452c3055/Alberto-Soro,452c3055,Big 5 combined
3023,Alessandro Sorrentino,ITA,GK,Monza,it Serie A,22-027,2002,5,368,74,12.0,4.1,0.73,90,0.73,0.49,49,7.07,1.40,1.95,3.17,-1.22,-1.22,-1.12,1.59,2.10,-0.51,-0.52,-0.13,https://fbref.com/en/players/8ef2452a/Alessandro-Sorrentino,8ef2452a,Big 5 combined
3024,Borna Sosa,CRO,"FW,DF",Stuttgart,de Bundesliga,26-100,1998,2,46,23,1.6,0.5,0.00,,0.00,4.00,23,0.00,1.50,0.00,8.00,-8.00,-7.83,-9.01,0.80,1.60,-0.80,-0.76,-1.79,https://fbref.com/en/players/af0d79a9/Borna-Sosa,af0d79a9,Big 5 combined
3025,Joaquin Sosa,URU,DF,Bologna,it Serie A,22-111,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/50841bef/Joaquin-Sosa,50841bef,Big 5 combined
3026,Hugo Sotelo,ESP,MF,Celta Vigo,es La Liga,20-133,2003,15,553,37,18.6,6.1,0.98,66,0.00,1.48,18,2.79,0.73,0.49,2.30,-1.80,-1.79,-1.72,1.36,1.28,0.08,+0.08,+0.32,https://fbref.com/en/players/3aa74860/Hugo-Sotelo,3aa74860,Big 5 combined
3027,Florian Sotoca,FRA,"MF,FW",Lens,fr Ligue 1,33-188,1990,29,2337,81,83.8,26.0,1.00,86,0.69,0.12,30,0.00,1.45,1.19,1.19,0.00,0.00,-1.19,1.43,1.35,0.09,+0.09,+0.02,https://fbref.com/en/players/7a42d0df/Florian-Sotoca,7a42d0df,Big 5 combined
3028,Riccardo Sottil,ITA,FW,Fiorentina,it Serie A,24-332,1999,22,1103,50,37.1,12.3,1.06,70,0.08,0.73,21,0.81,1.41,1.63,0.98,0.65,+0.65,+0.60,1.50,1.17,0.33,+0.33,+0.34,https://fbref.com/en/players/94816803/Riccardo-Sottil,94816803,Big 5 combined
3029,Tomáš Souček,CZE,MF,West Ham,eng Premier League,29-063,1995,34,2600,76,82.5,28.9,1.07,82,0.76,0.10,16,0.00,1.35,1.63,1.90,-0.28,-0.28,-0.11,1.42,1.93,-0.51,-0.51,-0.17,https://fbref.com/en/players/6613c819/Tomas-Soucek,6613c819,Big 5 combined
3030,Matìas Soulé,ARG,"FW,MF",Frosinone,it Serie A,21-015,2003,32,2769,87,90.5,30.8,1.04,87,0.52,0.00,,0.00,0.88,1.27,1.82,-0.55,-0.55,+0.38,1.13,1.50,-0.37,-0.37,+0.27,https://fbref.com/en/players/c13ddd3e/Matias-Soule,c13ddd3e,Big 5 combined
3031,Matìas Soulé,ARG,"FW,MF",Juventus,it Serie A,21-015,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/c13ddd3e/Matias-Soule,c13ddd3e,Big 5 combined
3032,Boubakary Soumaré,FRA,MF,Sevilla,es La Liga,25-063,1999,24,1927,80,64.9,21.4,1.03,86,0.89,0.09,16,0.14,1.46,1.17,1.21,-0.05,-0.05,+0.21,1.06,1.40,-0.34,-0.34,-0.17,https://fbref.com/en/players/ae59b359/Boubakary-Soumare,ae59b359,Big 5 combined
3033,Issa Soumaré,SEN,"FW,MF",Le Havre,fr Ligue 1,23-203,2000,7,237,34,8.5,2.6,1.15,62,0.00,1.54,13,1.54,0.57,0.77,2.69,-1.92,-1.90,-1.69,1.00,1.73,-0.73,-0.73,-0.34,https://fbref.com/en/players/1d8aa290/Issa-Soumare,1d8aa290,Big 5 combined
3034,Vinicius Souza,BRA,MF,Sheffield Utd,eng Premier League,24-318,1999,33,2475,75,78.6,27.5,1.02,84,0.69,0.18,25,0.07,0.48,0.98,2.76,-1.78,-1.78,+0.08,0.96,2.00,-1.04,-1.04,-0.17,https://fbref.com/en/players/6a8a7af8/Vinicius-Souza,6a8a7af8,Big 5 combined
3035,Djibril Sow,SUI,MF,Sevilla,es La Liga,27-084,1997,24,1460,61,49.2,16.2,1.11,74,0.25,0.37,20,0.19,1.00,1.11,1.30,-0.19,-0.18,-0.13,1.24,1.48,-0.24,-0.24,+0.08,https://fbref.com/en/players/4c6facae/Djibril-Sow,4c6facae,Big 5 combined
3036,Ibrahima Sow,SEN,FW,Sevilla,es La Liga,17-095,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/c6d0310e/Ibrahima-Sow,c6d0310e,Big 5 combined
3037,Saidou Sow,GUI,DF,Strasbourg,fr Ligue 1,21-301,2002,10,719,72,25.8,8.0,1.00,84,0.88,0.25,22,1.13,1.40,1.25,1.13,0.13,+0.13,+0.60,1.24,1.23,0.01,+0.01,+0.07,https://fbref.com/en/players/f6b94e8d/Saidou-Sow,f6b94e8d,Big 5 combined
3038,Çağlar Söyüncü,TUR,DF,Atlético Madrid,es La Liga,27-343,1996,6,114,19,3.8,1.3,0.77,45,0.00,3.85,14,6.15,2.50,3.85,0.77,3.08,+3.16,+2.56,1.46,2.08,-0.62,-0.62,-1.26,https://fbref.com/en/players/21166ff4/Caglar-Soyuncu,21166ff4,Big 5 combined
3039,Stéphane Sparagna,FRA,DF,Marseille,fr Ligue 1,29-073,1995,0,,,,,0,,0,0,,7,,,,,,,,,,,,https://fbref.com/en/players/27f6c6e9/Stephane-Sparagna,27f6c6e9,Big 5 combined
3040,Djed Spence,ENG,"DF,MF",Genoa,it Serie A,23-265,2000,11,579,53,19.5,6.4,0.94,75,0.63,0.78,26,0.31,1.45,0.78,0.78,0.00,0.00,+0.19,0.98,1.08,-0.09,-0.09,+0.06,https://fbref.com/en/players/9bc9a519/Djed-Spence,9bc9a519,Big 5 combined
3041,Stijn Spierings,NED,MF,Toulouse,fr Ligue 1,28-049,1996,21,1506,72,54.0,16.7,0.96,86,0.72,0.30,27,0.12,1.19,1.08,1.20,-0.12,-0.12,-0.12,1.20,1.35,-0.16,-0.15,+0.17,https://fbref.com/en/players/a08985b8/Stijn-Spierings,a08985b8,Big 5 combined
3042,Stijn Spierings,NED,MF,Lens,fr Ligue 1,28-049,1996,4,118,30,4.2,1.3,0.77,56,0.00,2.31,21,0.00,0.25,0.77,3.85,-3.08,-3.05,-3.39,0.31,2.31,-2.00,-1.98,-2.15,https://fbref.com/en/players/a08985b8/Stijn-Spierings,a08985b8,Big 5 combined
3043,Leonardo Spinazzola,ITA,DF,Roma,it Serie A,31-036,1993,24,1312,55,42.9,14.6,1.03,72,0.27,0.62,27,0.34,1.63,1.85,1.23,0.62,+0.62,+0.05,1.38,0.99,0.39,+0.39,+0.12,https://fbref.com/en/players/3626daea/Leonardo-Spinazzola,3626daea,Big 5 combined
3044,Marco Sportiello,ITA,GK,Milan,it Serie A,31-356,1992,4,360,90,11.8,4.0,1.00,90,1.00,0.00,,4.50,2.00,1.75,1.00,0.75,+0.75,+0.02,1.55,1.02,0.53,+0.51,+0.09,https://fbref.com/en/players/ac4003af/Marco-Sportiello,ac4003af,Big 5 combined
3045,Giacomo Stabile,ITA,DF,Inter,it Serie A,19-018,2005,0,,,,,0,,0,0,,8,,,,,,,,,,,,https://fbref.com/en/players/c5ad783c/Giacomo-Stabile,c5ad783c,Big 5 combined
3046,Anton Stach,GER,MF,Hoffenheim,de Bundesliga,25-167,1998,28,2117,76,75.9,23.5,0.98,85,0.68,0.21,33,0.00,1.18,1.70,2.21,-0.51,-0.51,-1.05,1.43,1.93,-0.49,-0.49,-0.59,https://fbref.com/en/players/0f59a7bf/Anton-Stach,0f59a7bf,Big 5 combined
3047,Anton Stach,GER,MF,Mainz 05,de Bundesliga,25-167,1998,2,170,85,6.1,1.9,1.05,85,0.53,0.00,,0.00,0.50,1.05,2.11,-1.05,-1.06,-0.54,1.42,1.21,0.21,+0.21,+0.33,https://fbref.com/en/players/0f59a7bf/Anton-Stach,0f59a7bf,Big 5 combined
3048,Jens Stage,DEN,MF,Werder Bremen,de Bundesliga,27-174,1996,27,2244,83,80.4,24.9,1.04,85,0.60,0.04,32,0.00,1.15,1.16,1.49,-0.32,-0.32,-0.16,1.28,1.56,-0.29,-0.29,+0.13,https://fbref.com/en/players/1fffae99/Jens-Stage,1fffae99,Big 5 combined
3049,Dimitrios Stamatakis,GRE,GK,Osasuna,es La Liga,21-007,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,https://fbref.com/en/players/21eb5ec9/Dimitrios-Stamatakis,21eb5ec9,Big 5 combined
3050,Benjamin Stambouli,FRA,MF,Reims,fr Ligue 1,33-261,1990,5,191,38,6.8,2.1,0.95,73,0.00,1.43,15,1.43,0.40,0.95,2.38,-1.43,-1.41,-1.28,1.29,1.71,-0.43,-0.42,-0.43,https://fbref.com/en/players/5939baa2/Benjamin-Stambouli,5939baa2,Big 5 combined
3051,Josip Stanišić,CRO,DF,Leverkusen,de Bundesliga,24-028,2000,18,1162,65,41.6,12.9,0.93,90,0.85,0.47,14,0.85,2.67,2.33,0.70,1.63,+1.63,-0.25,2.11,0.75,1.36,+1.35,+0.23,https://fbref.com/en/players/7ed08d5c/Josip-Stanisic,7ed08d5c,Big 5 combined
3052,Aleksandar Stanković,SRB,FW,Inter,it Serie A,18-271,2005,0,,,,,0,,0,0,,11,,,,,,,,,,,,https://fbref.com/en/players/22cdb8a6/Aleksandar-Stankovic,22cdb8a6,Big 5 combined
3053,Jay Stansfield,ENG,"FW,MF",Fulham,eng Premier League,21-158,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/b2626673/Jay-Stansfield,b2626673,Big 5 combined
3054,Carl Starfelt,SWE,DF,Celta Vigo,es La Liga,28-334,1995,23,1863,81,62.7,20.7,1.06,84,0.87,0.05,23,0.34,0.78,0.97,1.64,-0.68,-0.68,-0.76,1.18,1.57,-0.39,-0.39,-0.56,https://fbref.com/en/players/5cfec13d/Carl-Starfelt,5cfec13d,Big 5 combined
3055,Niklas Stark,GER,DF,Werder Bremen,de Bundesliga,29-016,1995,15,1060,71,38.0,11.8,1.02,85,0.85,0.25,12,0.17,1.53,1.69,1.27,0.42,+0.42,+1.15,1.64,1.42,0.23,+0.23,+0.88,https://fbref.com/en/players/aad48be9/Niklas-Stark,aad48be9,Big 5 combined
3056,Jason Steele,ENG,GK,Brighton,eng Premier League,33-256,1990,16,1440,90,47.1,16.0,1.00,90,1.00,0.00,,1.13,1.19,1.50,2.00,-0.50,-0.50,-0.83,1.67,1.48,0.19,+0.19,+0.39,https://fbref.com/en/players/28300a16/Jason-Steele,28300a16,Big 5 combined
3057,Pascal Stenzel,GER,DF,Stuttgart,de Bundesliga,28-041,1996,22,1030,47,36.9,11.4,1.23,68,0.09,0.70,9,0.61,2.27,2.54,1.14,1.40,+1.40,+0.58,2.18,1.18,0.99,+0.99,-0.03,https://fbref.com/en/players/99f7e9aa/Pascal-Stenzel,99f7e9aa,Big 5 combined
3058,Leonidas Stergiou,SUI,DF,Stuttgart,de Bundesliga,22-058,2002,13,414,32,14.8,4.6,0.87,76,0.43,1.96,12,3.48,2.00,2.17,1.09,1.09,+1.09,+0.06,1.76,1.24,0.50,+0.51,-0.58,https://fbref.com/en/players/08391d76/Leonidas-Stergiou,08391d76,Big 5 combined
3059,Raheem Sterling,ENG,"FW,MF",Chelsea,eng Premier League,29-144,1994,28,1875,67,63.1,20.8,1.01,83,0.43,0.34,20,0.10,1.32,1.78,1.68,0.10,+0.10,-0.07,1.89,1.47,0.43,+0.43,+0.07,https://fbref.com/en/players/b400bde0/Raheem-Sterling,b400bde0,Big 5 combined
3060,Trivante Stewart,JAM,"FW,MF",Salernitana,it Serie A,24-039,2000,4,100,25,3.3,1.1,0.00,,0.00,3.64,25,5.45,0.25,1.82,5.45,-3.64,-3.60,-2.29,1.64,3.82,-2.18,-2.14,-1.04,https://fbref.com/en/players/75bd6f48/Trivante-Stewart,75bd6f48,Big 5 combined
3061,Angelo Stiller,GER,MF,Hoffenheim,de Bundesliga,23-026,2001,1,84,84,3.0,0.9,1.11,84,0.00,0.00,,0.00,0.00,1.11,2.22,-1.11,-1.07,-0.84,1.33,2.78,-1.44,-1.42,-1.10,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,3b1ed320,Big 5 combined
3062,Angelo Stiller,GER,MF,Stuttgart,de Bundesliga,23-026,2001,28,2424,87,86.9,26.9,1.00,89,0.86,0.04,20,0.00,2.14,2.27,1.12,1.15,+1.15,+0.91,2.12,1.11,1.01,+1.01,+0.02,https://fbref.com/en/players/3b1ed320/Angelo-Stiller,3b1ed320,Big 5 combined
3063,Kevin Stöger,AUT,MF,Bochum,de Bundesliga,30-247,1993,29,2398,83,85.9,26.6,1.09,83,0.68,0.00,,0.00,0.93,1.24,1.99,-0.75,-0.75,+0.40,1.32,1.72,-0.40,-0.40,+0.56,https://fbref.com/en/players/e5649a78/Kevin-Stoger,e5649a78,Big 5 combined
3064,Petar Stojanović,SVN,"DF,MF",Empoli,it Serie A,28-206,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/13b44b02/Petar-Stojanovic,13b44b02,Big 5 combined
3065,Filip Stojilković,SUI,"FW,MF",Darmstadt 98,de Bundesliga,24-117,2000,6,154,26,5.5,1.7,0.00,,0.00,3.53,26,1.18,0.00,0.00,2.35,-2.35,-2.34,-1.01,1.24,2.76,-1.53,-1.55,-0.48,https://fbref.com/en/players/0cbe584d/Filip-Stojilkovic,0cbe584d,Big 5 combined
3066,John Stones,ENG,"DF,MF",Manchester City,eng Premier League,29-338,1994,15,1042,69,34.1,11.6,1.03,83,0.78,0.26,15,0.69,2.33,2.07,0.78,1.29,+1.30,-0.18,1.86,1.06,0.80,+0.80,-0.41,https://fbref.com/en/players/5eecec3d/John-Stones,5eecec3d,Big 5 combined
3067,Thomas Strakosha,ALB,GK,Brentford,eng Premier League,29-042,1995,2,135,68,4.3,1.5,0.67,90,0.67,0.67,45,20.7,1.50,2.00,1.33,0.67,+0.67,+0.94,0.93,1.07,-0.13,-0.16,-0.31,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,339fe0e8,Big 5 combined
3068,Jørgen Strand Larsen,NOR,FW,Celta Vigo,es La Liga,24-084,2000,32,2543,79,85.6,28.3,1.13,79,0.32,0.00,,0.00,0.97,1.02,1.13,-0.11,-0.11,+2.00,1.20,1.24,-0.04,-0.04,+0.96,https://fbref.com/en/players/f553b2b3/Jorgen-Strand-Larsen,f553b2b3,Big 5 combined
3069,Gabriel Strefezza,BRA,FW,Lecce,it Serie A,27-012,1997,19,1112,59,36.3,12.4,1.05,75,0.16,0.48,22,0.16,1.05,0.73,1.45,-0.73,-0.73,-0.31,0.96,1.53,-0.57,-0.57,-0.50,https://fbref.com/en/players/ac4a4508/Gabriel-Strefezza,ac4a4508,Big 5 combined
3070,Kevin Strootman,NED,MF,Genoa,it Serie A,34-077,1990,23,1080,47,36.4,12.0,1.17,66,0.17,0.75,18,0.17,1.35,1.25,1.08,0.17,+0.17,+0.50,0.86,1.05,-0.19,-0.19,-0.07,https://fbref.com/en/players/ef2e5e1a/Kevin-Strootman,ef2e5e1a,Big 5 combined
3071,Cristhian Stuani,URU,FW,Girona,es La Liga,37-201,1986,29,757,26,25.5,8.4,0.60,65,0.00,2.86,18,0.12,2.03,2.50,1.07,1.43,+1.43,+0.74,2.02,1.60,0.43,+0.42,+0.03,https://fbref.com/en/players/220c11f1/Cristhian-Stuani,220c11f1,Big 5 combined
3072,Lovro Štubljar,SVN,GK,Empoli,it Serie A,19-265,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,https://fbref.com/en/players/4c909198/Lovro-Stubljar,4c909198,Big 5 combined
3073,Ronnie Stutter,ENG,FW,Chelsea,eng Premier League,19-115,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/e3f9e68a/Ronnie-Stutter,e3f9e68a,Big 5 combined
3074,Álex Suárez,ESP,DF,Las Palmas,es La Liga,31-043,1993,27,2206,82,74.3,24.5,1.06,85,0.78,0.04,1,0.20,1.07,0.94,1.18,-0.24,-0.24,+0.34,0.80,1.38,-0.58,-0.57,+0.44,https://fbref.com/en/players/9c137b36/Alex-Suarez,9c137b36,Big 5 combined
3075,Damián Suárez,URU,DF,Getafe,es La Liga,36-003,1988,16,1299,81,43.7,14.4,1.04,84,0.63,0.07,45,0.07,1.12,1.39,1.67,-0.28,-0.28,-0.28,1.10,1.51,-0.41,-0.41,-0.25,https://fbref.com/en/players/ba5004e1/Damian-Suarez,ba5004e1,Big 5 combined
3076,Denis Suárez,ESP,"MF,FW",Villarreal,es La Liga,30-115,1994,4,133,33,4.5,1.5,0.67,90,0.67,2.00,14,0.67,0.75,0.67,3.33,-2.67,-2.71,-2.80,0.60,2.93,-2.33,-2.33,-2.39,https://fbref.com/en/players/12c50af5/Denis-Suarez,12c50af5,Big 5 combined
3077,Gabriel Suazo,CHI,DF,Toulouse,fr Ligue 1,26-265,1997,28,2192,78,78.6,24.4,1.02,85,0.70,0.12,26,0.04,1.18,1.15,1.39,-0.25,-0.25,-0.85,1.12,1.38,-0.26,-0.26,-0.11,https://fbref.com/en/players/39b326ed/Gabriel-Suazo,39b326ed,Big 5 combined
3078,Isaac Success,NGA,FW,Udinese,it Serie A,28-114,1996,24,770,32,25.2,8.6,0.81,69,0.23,1.98,17,1.05,0.92,1.05,1.74,-0.70,-0.70,-0.19,1.21,1.24,-0.03,-0.03,+0.40,https://fbref.com/en/players/f573a8bf/Isaac-Success,f573a8bf,Big 5 combined
